ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms),ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms),ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms)
T0_subNum,T0_length,T0_trial,T0_set,T0_stim,T0_targetfoil,T0_resp,T0_corr,T0_rt,T1_subNum,T1_length,T1_trial,T1_set,T1_stim,T1_targetfoil,T1_resp,T1_corr,T1_rt,T2_subNum,T2_length,T2_trial,T2_set,T2_stim,T2_targetfoil,T2_resp,T2_corr,T2_rt
T0_4570_sternberg,2,1,KH,K,T,<lshift>,1,5608,T1_4570_sternberg,2,1,SN,V,F,<rshift>,1,1338,T2_4570_sternberg,2,1,SZ,Z,T,<lshift>,1,1145
T0_4570_sternberg,2,2,KH,L,F,<rshift>,1,3465,T1_4570_sternberg,2,2,SN,S,T,<lshift>,1,1017,T2_4570_sternberg,2,2,SZ,S,T,<lshift>,1,586
T0_4570_sternberg,2,3,KH,N,F,<rshift>,1,2994,T1_4570_sternberg,2,3,SN,H,F,<rshift>,1,855,T2_4570_sternberg,2,3,SZ,Z,T,<lshift>,1,407
T0_4570_sternberg,2,4,KH,N,F,<rshift>,1,3957,T1_4570_sternberg,2,4,SN,R,F,<rshift>,1,609,T2_4570_sternberg,2,4,SZ,S,T,<lshift>,1,367
T0_4570_sternberg,2,5,KH,K,T,<lshift>,1,736,T1_4570_sternberg,2,5,SN,K,F,<rshift>,1,511,T2_4570_sternberg,2,5,SZ,P,F,<rshift>,1,468
T0_4570_sternberg,2,6,KH,P,F,<rshift>,1,908,T1_4570_sternberg,2,6,SN,T,F,<rshift>,1,557,T2_4570_sternberg,2,6,SZ,S,T,<lshift>,1,621
T0_4570_sternberg,2,7,KH,H,T,<lshift>,1,8197,T1_4570_sternberg,2,7,SN,H,F,<rshift>,1,408,T2_4570_sternberg,2,7,SZ,H,F,<rshift>,1,570
T0_4570_sternberg,2,8,KH,W,F,<rshift>,1,693,T1_4570_sternberg,2,8,SN,F,F,<rshift>,1,1123,T2_4570_sternberg,2,8,SZ,C,F,<lshift>,0,478
T0_4570_sternberg,2,9,KH,H,T,<lshift>,1,616,T1_4570_sternberg,2,9,SN,D,F,<rshift>,1,510,T2_4570_sternberg,2,9,SZ,W,F,<rshift>,1,1036
