ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms),ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms),ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms)
T0_subNum,T0_length,T0_trial,T0_set,T0_stim,T0_targetfoil,T0_resp,T0_corr,T0_rt,T1_subNum,T1_length,T1_trial,T1_set,T1_stim,T1_targetfoil,T1_resp,T1_corr,T1_rt,T2_subNum,T2_length,T2_trial,T2_set,T2_stim,T2_targetfoil,T2_resp,T2_corr,T2_rt
T0_4576_sternberg,2,1,NW,W,T,<lshift>,1,2132,T1_4576_sternberg,2,1,JV,J,T,<lshift>,1,729,T2_4576_sternberg,2,1,FZ,W,F,<rshift>,1,1286
T0_4576_sternberg,2,2,NW,N,T,<lshift>,1,1043,T1_4576_sternberg,2,2,JV,J,T,<lshift>,1,2822,T2_4576_sternberg,2,2,FZ,S,F,<rshift>,1,1194
T0_4576_sternberg,2,3,NW,R,F,<rshift>,1,801,T1_4576_sternberg,2,3,JV,Q,F,<rshift>,1,2828,T2_4576_sternberg,2,3,FZ,K,F,<rshift>,1,1042
T0_4576_sternberg,2,4,NW,T,F,<rshift>,1,799,T1_4576_sternberg,2,4,JV,J,T,<lshift>,1,660,T2_4576_sternberg,2,4,FZ,W,F,<rshift>,1,1345
T0_4576_sternberg,2,5,NW,S,F,<rshift>,1,1016,T1_4576_sternberg,2,5,JV,J,T,<lshift>,1,623,T2_4576_sternberg,2,5,FZ,Z,T,<lshift>,1,603
T0_4576_sternberg,2,6,NW,T,F,<rshift>,1,1248,T1_4576_sternberg,2,6,JV,W,F,<rshift>,1,1699,T2_4576_sternberg,2,6,FZ,Z,T,<lshift>,1,571
T0_4576_sternberg,2,7,NW,N,T,<lshift>,1,656,T1_4576_sternberg,2,7,JV,V,T,<lshift>,1,765,T2_4576_sternberg,2,7,FZ,P,F,<rshift>,1,617
T0_4576_sternberg,2,8,NW,N,T,<lshift>,1,1811,T1_4576_sternberg,2,8,JV,J,T,<lshift>,1,1364,T2_4576_sternberg,2,8,FZ,S,F,<rshift>,1,1159
T0_4576_sternberg,2,9,NW,Z,F,<rshift>,1,1040,T1_4576_sternberg,2,9,JV,T,F,<rshift>,1,726,T2_4576_sternberg,2,9,FZ,C,F,<rshift>,1,687
T0_4576_sternberg,2,10,NW,R,F,<rshift>,1,1690,T1_4576_sternberg,2,10,JV,Z,F,<rshift>,1,708,T2_4576_sternberg,2,10,FZ,H,F,<rshift>,1,570
T0_4576_sternberg,2,11,NW,K,F,<rshift>,1,683,T1_4576_sternberg,2,11,JV,J,T,<lshift>,1,552,T2_4576_sternberg,2,11,FZ,Z,T,<lshift>,1,583
T0_4576_sternberg,2,12,NW,J,F,<rshift>,1,3619,T1_4576_sternberg,2,12,JV,C,F,<rshift>,1,1139,T2_4576_sternberg,2,12,FZ,Q,F,<rshift>,1,557
T0_4576_sternberg,2,13,NW,V,F,<rshift>,1,756,T1_4576_sternberg,2,13,JV,V,T,<lshift>,1,969,T2_4576_sternberg,2,13,FZ,F,T,<lshift>,1,521
T0_4576_sternberg,2,14,NW,J,F,<rshift>,1,511,T1_4576_sternberg,2,14,JV,J,T,<lshift>,1,643,T2_4576_sternberg,2,14,FZ,F,T,<lshift>,1,482
