ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms),ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms),ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms)
T0_subNum,T0_length,T0_trial,T0_set,T0_stim,T0_targetfoil,T0_resp,T0_corr,T0_rt,T1_subNum,T1_length,T1_trial,T1_set,T1_stim,T1_targetfoil,T1_resp,T1_corr,T1_rt,T2_subNum,T2_length,T2_trial,T2_set,T2_stim,T2_targetfoil,T2_resp,T2_corr,T2_rt
T0_4578_sternberg,2,1,WV,K,F,<rshift>,1,1372,T1_4578_sternberg,2,1,LG,W,F,<lshift>,0,4387,T2_4578_sternberg,2,1,FT,W,F,<rshift>,1,1516
T0_4578_sternberg,2,2,WV,V,T,<lshift>,1,848,T1_4578_sternberg,2,2,LG,L,T,<rshift>,0,1080,T2_4578_sternberg,2,2,FT,Q,F,<rshift>,1,650
T0_4578_sternberg,2,3,WV,V,T,<lshift>,1,3504,T1_4578_sternberg,2,3,LG,G,T,<lshift>,1,1395,T2_4578_sternberg,2,3,FT,T,T,<lshift>,1,1249
T0_4578_sternberg,2,4,WV,S,F,<rshift>,1,1859,T1_4578_sternberg,2,4,LG,W,F,<rshift>,1,896,T2_4578_sternberg,2,4,FT,J,F,<rshift>,1,949
T0_4578_sternberg,2,5,WV,S,F,<rshift>,1,998,T1_4578_sternberg,2,5,LG,C,F,<rshift>,1,1157,T2_4578_sternberg,2,5,FT,P,F,<rshift>,1,915
T0_4578_sternberg,2,6,WV,F,F,<rshift>,1,1442,T1_4578_sternberg,2,6,LG,J,F,<rshift>,1,1637,T2_4578_sternberg,2,6,FT,T,T,<lshift>,1,623
T0_4578_sternberg,2,7,WV,C,F,<rshift>,1,1258,T1_4578_sternberg,2,7,LG,K,F,<rshift>,1,1285,T2_4578_sternberg,2,7,FT,F,T,<lshift>,1,817
T0_4578_sternberg,2,8,WV,V,T,<lshift>,1,802,T1_4578_sternberg,2,8,LG,R,F,<rshift>,1,1500,T2_4578_sternberg,2,8,FT,C,F,<rshift>,1,620
T0_4578_sternberg,2,9,WV,V,T,<lshift>,1,985,T1_4578_sternberg,2,9,LG,V,F,<rshift>,1,932,T2_4578_sternberg,2,9,FT,W,F,<rshift>,1,984
T0_4578_sternberg,2,10,WV,H,F,<rshift>,1,1722,T1_4578_sternberg,2,10,LG,D,F,<rshift>,1,921,T2_4578_sternberg,2,10,FT,F,T,<lshift>,1,653
T0_4578_sternberg,2,11,WV,M,F,<rshift>,1,1039,T1_4578_sternberg,2,11,LG,L,T,<lshift>,1,724,T2_4578_sternberg,2,11,FT,T,T,<lshift>,1,750
T0_4578_sternberg,2,12,WV,D,F,<rshift>,1,580,T1_4578_sternberg,2,12,LG,G,T,<lshift>,1,887,T2_4578_sternberg,2,12,FT,F,T,<lshift>,1,735
T0_4578_sternberg,2,13,WV,V,T,<lshift>,1,742,T1_4578_sternberg,2,13,LG,L,T,<lshift>,1,800,T2_4578_sternberg,2,13,FT,V,F,<rshift>,1,612
T0_4578_sternberg,2,14,WV,V,T,<lshift>,1,679,T1_4578_sternberg,2,14,LG,W,F,<rshift>,1,839,T2_4578_sternberg,2,14,FT,T,T,<lshift>,1,751
T0_4578_sternberg,2,15,WV,W,T,<lshift>,1,912,T1_4578_sternberg,2,15,LG,P,F,<rshift>,1,1087,T2_4578_sternberg,2,15,FT,M,F,<rshift>,1,916
