ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms),ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms),ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms)
T0_subNum,T0_length,T0_trial,T0_set,T0_stim,T0_targetfoil,T0_resp,T0_corr,T0_rt,T1_subNum,T1_length,T1_trial,T1_set,T1_stim,T1_targetfoil,T1_resp,T1_corr,T1_rt,T2_subNum,T2_length,T2_trial,T2_set,T2_stim,T2_targetfoil,T2_resp,T2_corr,T2_rt
T0_4571_sternberg,2,1,CR,V,F,<rshift>,1,11829,T1_4571_sternberg,2,1,RN,M,F,<rshift>,1,1819,T2_4571_sternberg,2,1,QZ,B,F,<rshift>,1,1972
T0_4571_sternberg,2,2,CR,H,F,<rshift>,1,6519,T1_4571_sternberg,2,2,RN,N,T,<lshift>,1,1116,T2_4571_sternberg,2,2,QZ,Q,T,<lshift>,1,801
T0_4571_sternberg,2,3,CR,R,T,<lshift>,1,737,T1_4571_sternberg,2,3,RN,F,F,<rshift>,1,802,T2_4571_sternberg,2,3,QZ,Z,T,<lshift>,1,955
T0_4571_sternberg,2,4,CR,T,F,<rshift>,1,866,T1_4571_sternberg,2,4,RN,R,T,<lshift>,1,819,T2_4571_sternberg,2,4,QZ,Z,T,<lshift>,1,613
T0_4571_sternberg,2,5,CR,T,F,<rshift>,1,598,T1_4571_sternberg,2,5,RN,B,F,<rshift>,1,695,T2_4571_sternberg,2,5,QZ,Z,T,<lshift>,1,541
T0_4571_sternberg,2,6,CR,F,F,<rshift>,1,926,T1_4571_sternberg,2,6,RN,R,T,<lshift>,1,812,T2_4571_sternberg,2,6,QZ,W,F,<rshift>,1,611
T0_4571_sternberg,2,7,CR,C,T,<lshift>,1,942,T1_4571_sternberg,2,7,RN,N,T,<lshift>,1,983,T2_4571_sternberg,2,7,QZ,T,F,<rshift>,1,621
T0_4571_sternberg,2,8,CR,R,T,<lshift>,1,756,T1_4571_sternberg,2,8,RN,R,T,<lshift>,1,619,T2_4571_sternberg,2,8,QZ,Q,T,<lshift>,1,701
T0_4571_sternberg,2,9,CR,R,T,<lshift>,1,761,T1_4571_sternberg,2,9,RN,R,T,<lshift>,1,515,T2_4571_sternberg,2,9,QZ,Q,T,<lshift>,1,507
T0_4571_sternberg,2,10,CR,G,F,<rshift>,1,710,T1_4571_sternberg,2,10,RN,R,T,<lshift>,1,978,T2_4571_sternberg,2,10,QZ,Q,T,<lshift>,1,498
T0_4571_sternberg,2,11,CR,R,T,<lshift>,1,837,T1_4571_sternberg,2,11,RN,N,T,<lshift>,1,721,T2_4571_sternberg,2,11,QZ,Z,T,<rshift>,0,580
T0_4571_sternberg,2,12,CR,K,F,<rshift>,1,672,T1_4571_sternberg,2,12,RN,M,F,<rshift>,1,911,T2_4571_sternberg,2,12,QZ,K,F,<rshift>,1,1695
T0_4571_sternberg,2,13,CR,L,F,<rshift>,1,809,T1_4571_sternberg,2,13,RN,R,T,<lshift>,1,862,T2_4571_sternberg,2,13,QZ,K,F,<rshift>,1,477
T0_4571_sternberg,2,14,CR,K,F,<rshift>,1,622,T1_4571_sternberg,2,14,RN,D,F,<rshift>,1,1317,T2_4571_sternberg,2,14,QZ,M,F,<rshift>,1,672
T0_4571_sternberg,2,15,CR,C,T,<lshift>,1,709,T1_4571_sternberg,2,15,RN,C,F,<rshift>,1,873,T2_4571_sternberg,2,15,QZ,B,F,<rshift>,1,741
T0_4571_sternberg,2,16,CR,V,F,<rshift>,1,861,T1_4571_sternberg,2,16,RN,N,T,<lshift>,1,1029,T2_4571_sternberg,2,16,QZ,Q,T,<lshift>,1,607
T0_4571_sternberg,2,17,CR,R,T,<lshift>,1,666,T1_4571_sternberg,2,17,RN,T,F,<rshift>,1,758,T2_4571_sternberg,2,17,QZ,N,F,<rshift>,1,700
T0_4571_sternberg,2,18,CR,R,T,<lshift>,1,570,T1_4571_sternberg,2,18,RN,P,F,<rshift>,1,864,T2_4571_sternberg,2,18,QZ,M,F,<rshift>,1,1696
T0_4571_sternberg,2,19,CR,Q,F,<rshift>,1,651,T1_4571_sternberg,2,19,RN,N,T,<lshift>,1,785,T2_4571_sternberg,2,19,QZ,C,F,<rshift>,1,662
T0_4571_sternberg,2,20,CR,R,T,<lshift>,1,725,T1_4571_sternberg,2,20,RN,N,T,<lshift>,1,670,T2_4571_sternberg,2,20,QZ,D,F,<rshift>,1,823
T0_4571_sternberg,2,21,CR,P,F,<rshift>,1,689,T1_4571_sternberg,2,21,RN,W,F,<rshift>,1,674,T2_4571_sternberg,2,21,QZ,Z,T,<lshift>,1,752
T0_4571_sternberg,2,22,CR,R,T,<lshift>,1,661,T1_4571_sternberg,2,22,RN,N,T,<lshift>,1,698,T2_4571_sternberg,2,22,QZ,H,F,<rshift>,1,2085
T0_4571_sternberg,2,23,CR,V,F,<rshift>,1,631,T1_4571_sternberg,2,23,RN,M,F,<rshift>,1,679,T2_4571_sternberg,2,23,QZ,G,F,<rshift>,1,1743
T0_4571_sternberg,2,24,CR,R,T,<lshift>,1,615,T1_4571_sternberg,2,24,RN,N,T,<lshift>,1,774,T2_4571_sternberg,2,24,QZ,P,F,<rshift>,1,583
T0_4571_sternberg,2,25,CR,R,T,<lshift>,1,539,T1_4571_sternberg,2,25,RN,R,T,<lshift>,1,816,T2_4571_sternberg,2,25,QZ,L,F,<rshift>,1,722
T0_4571_sternberg,2,26,CR,C,T,<lshift>,1,703,T1_4571_sternberg,2,26,RN,Z,F,<rshift>,1,924,T2_4571_sternberg,2,26,QZ,Q,T,<lshift>,1,944
T0_4571_sternberg,2,27,CR,C,T,<lshift>,1,614,T1_4571_sternberg,2,27,RN,R,T,<lshift>,1,676,T2_4571_sternberg,2,27,QZ,G,F,<rshift>,1,715
