ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms),ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms),ID,Tamanho,Trial,Conjunto,Estímulo,Verdadeiro/Falso,Resposta,Correto,Tempo(ms)
T0_subNum,T0_length,T0_trial,T0_set,T0_stim,T0_targetfoil,T0_resp,T0_corr,T0_rt,T1_subNum,T1_length,T1_trial,T1_set,T1_stim,T1_targetfoil,T1_resp,T1_corr,T1_rt,T2_subNum,T2_length,T2_trial,T2_set,T2_stim,T2_targetfoil,T2_resp,T2_corr,T2_rt
T0_4585_sternberg,2,1,BH,B,T,<lshift>,1,4385,T1_4585_sternberg,2,1,MJ,Z,F,<lshift>,0,22187,T2_4585_sternberg,2,1,CN,P,F,<lshift>,0,2839
T0_4585_sternberg,2,2,BH,H,T,<lshift>,1,1742,T1_4585_sternberg,2,2,MJ,J,T,<rshift>,0,2194,T2_4585_sternberg,2,2,CN,S,F,<lshift>,0,1183
T0_4585_sternberg,2,3,BH,B,T,<lshift>,1,1217,T1_4585_sternberg,2,3,MJ,H,F,<rshift>,1,3504,T2_4585_sternberg,2,3,CN,C,T,<rshift>,0,5680
T0_4585_sternberg,2,4,BH,V,F,<rshift>,1,1586,T1_4585_sternberg,2,4,MJ,H,F,<lshift>,0,7219,T2_4585_sternberg,2,4,CN,N,T,<rshift>,0,1377
T0_4585_sternberg,2,5,BH,R,F,<rshift>,1,865,T1_4585_sternberg,2,5,MJ,W,F,<rshift>,1,1613,T2_4585_sternberg,2,5,CN,V,F,<lshift>,0,1524
T0_4585_sternberg,2,6,BH,H,T,<lshift>,1,973,T1_4585_sternberg,2,6,MJ,M,T,<lshift>,1,1067,T2_4585_sternberg,2,6,CN,G,F,<lshift>,0,2274
T0_4585_sternberg,2,7,BH,H,T,<lshift>,1,913,T1_4585_sternberg,2,7,MJ,L,F,<rshift>,1,1446,T2_4585_sternberg,2,7,CN,P,F,<lshift>,0,882
T0_4585_sternberg,2,8,BH,F,F,<rshift>,1,824,T1_4585_sternberg,2,8,MJ,Q,F,<rshift>,1,1688,T2_4585_sternberg,2,8,CN,L,F,<lshift>,0,735
T0_4585_sternberg,2,9,BH,W,F,<rshift>,1,941,T1_4585_sternberg,2,9,MJ,J,T,<lshift>,1,817,T2_4585_sternberg,2,9,CN,H,F,<lshift>,0,1315
